alpha,beta
-0.500000000000016,0.09999999999998188
-0.15000000000001726,-0.1000000000000174
-1.250000000000013,1.5999999999999766
0.2499999999999813,0.44999999999998064
-0.7500000000000151,0.049999999999982066
2.299999999999974,-1.250000000000013
0.09999999999998188,0.44999999999998064
-0.1000000000000174,-0.45000000000001616
-0.1000000000000174,0.09999999999998188
-0.4000000000000163,-0.8000000000000149
0.2999999999999812,0.3999999999999808
0.2999999999999812,0.2499999999999813
1.0499999999999785,1.1499999999999782
-0.1000000000000174,0.899999999999979
1.0499999999999785,0.44999999999998064
-0.7500000000000151,0.19999999999998155
0.049999999999982066,-0.45000000000001616
0.44999999999998064,1.1499999999999782
