mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.07462513,0.04636238,-0.9961334,0,0.007209882,0.9989176,0.04595184,0,-0.9971856,0.003752848,0.07487857,0,5.822972,-1.373676,-7.30324,1,-0.07462507,0.007209885,-0.9971855,0,0.04636238,0.9989176,0.003752842,0,-0.9961332,0.04595184,0.07487862,0,-6.776773,1.665804,6.358595,1,1.0,1.0,0.003745209,-0.002625397,-0.01995422,2.46,11,-0.0067081241893270195,-0.021477954484580272,0.9997468172197491,0.011107297996867469,0.036209501105932934,0.9992824925719794
-0.07456791,0.04621428,-0.9961445,0,0.007120134,0.9989248,0.04581027,0,-0.9971906,0.003676711,0.07481682,0,5.823509,-1.374242,-7.302682,1,-0.07456794,0.007120138,-0.9971904,0,0.04621427,0.9989247,0.003676706,0,-0.9961445,0.04581026,0.07481678,0,-6.776769,1.665838,6.358563,1,1.0,1.0,0.003745209,-0.002625305,-0.01995191,2.48,12,-0.005711813741423539,-0.022307418336927894,0.9997348419810745,0.01210323687670958,0.03537970337873369,0.9993006495774627
-0.07459223,0.04616336,-0.9961451,0,0.006910669,0.9989279,0.04577484,0,-0.9971902,0.003469581,0.07483125,0,5.82361,-1.373268,-7.302945,1,-0.0745922,0.006910668,-0.9971903,0,0.04616335,0.9989278,0.003469582,0,-0.996145,0.04577484,0.07483128,0,-6.777001,1.665842,6.358501,1,1.0,1.0,0.003745209,-0.002625107,-0.01995118,2.5,13,-0.005432249658383591,-0.021559816993059276,0.999752801923993,0.012383076599602107,0.03612680883470978,0.9992704904565874
-0.07467508,0.04661385,-0.9961179,0,0.006635308,0.998908,0.04624699,0,-0.9971859,0.003156055,0.07490277,0,5.823414,-1.36815,-7.304126,1,-0.07467502,0.006635308,-0.9971858,0,0.04661384,0.9989079,0.003156051,0,-0.9961178,0.04624699,0.07490283,0,-6.777132,1.66581,6.358443,1,1.0,1.0,0.003746292,-0.002614716,-0.01996832,2.52,14,-0.004193434979317597,-0.020685577669860695,0.9997772361779088,0.013622129984502598,0.03699972910684915,0.9992224265000786
-0.07479405,0.04727672,-0.9960777,0,0.0062549,0.9988781,0.04693997,0,-0.9971794,0.002719533,0.07500589,0,5.823154,-1.360723,-7.305726,1,-0.0747941,0.006254899,-0.9971794,0,0.04727672,0.9988781,0.002719536,0,-0.9960778,0.04693997,0.07500585,0,-6.777203,1.665704,6.358402,1,1.0,1.0,0.00374794,-0.002612503,-0.01996888,2.54,15,-0.006024580619040862,-0.020919392259216706,0.9997630136466689,0.011791021643871637,0.03676736523744158,0.9992542882880665
-0.07490873,0.04812984,-0.9960282,0,0.006047091,0.9988381,0.04781084,0,-0.9971721,0.002441624,0.0751127,0,5.822595,-1.353001,-7.307511,1,-0.07490868,0.006047089,-0.9971721,0,0.04812984,0.998838,0.002441623,0,-0.9960281,0.04781083,0.07511274,0,-6.777204,1.665597,6.35832,1,1.0,1.0,0.003661758,-0.003061279,-0.02068092,2.56,16,-0.00333698466559554,-0.11123909023293437,0.9937880706355305,0.014371724167084841,-0.05374929463659633,0.9984510337871023
-0.07505119,0.05068174,-0.9958909,0,0.005846953,0.9987128,0.05038472,0,-0.9971625,0.002041491,0.07525098,0,5.821687,-1.332762,-7.311572,1,-0.07505126,0.005846953,-0.9971625,0,0.05068174,0.9987128,0.002041495,0,-0.9958909,0.05038472,0.07525091,0,-6.777056,1.665398,6.358091,1,0.9974322,0.9589157,0.003595353,-0.00388649,-0.02003945,2.6,17,0.013988533144591654,-0.2860338771100036,0.9581173947308763,0.031058880142328247,-0.2303277389423719,0.9726173341237545
-0.07554018,0.05357813,-0.9957023,0,0.005867111,0.998562,0.0532869,0,-0.9971256,0.001816599,0.07574582,0,5.818098,-1.311057,-7.318437,1,-0.07554009,0.005867111,-0.9971254,0,0.05357813,0.998562,0.001816594,0,-0.9957023,0.0532869,0.0757459,0,-6.777241,1.665013,6.358097,1,1.0,1.0,0.003589394,-0.00389035,-0.02012279,2.62,18,0.019718770908062063,-0.3103132148433138,0.9504298389505048,0.03665122457759853,-0.25501581890081715,0.966242008943571
-0.07582188,0.05802282,-0.9954319,0,0.006098671,0.9983138,0.05772628,0,-0.9971029,0.001693903,0.0760479,0,5.815542,-1.279362,-7.325786,1,-0.07582187,0.006098676,-0.9971027,0,0.05802281,0.9983137,0.001693896,0,-0.9954317,0.05772626,0.07604787,0,-6.777142,1.664627,6.35797,1,1.0,1.0,0.00359565,-0.003867416,-0.02010835,2.64,19,0.01513898756055833,-0.2972076228984926,0.9546928511027348,0.032148130409362694,-0.24168152857607728,0.9698229407764665
-0.0774256,0.06339692,-0.9949805,0,0.006722484,0.9979867,0.06306535,0,-0.9969755,0.001805868,0.07769597,0,5.802671,-1.242564,-7.342055,1,-0.07742565,0.006722487,-0.9969754,0,0.06339691,0.9979867,0.001805868,0,-0.9949804,0.06306534,0.0776959,0,-6.777151,1.664083,6.357812,1,1.0,1.0,0.003597213,-0.00386425,-0.02009926,2.66,20,0.012283237591144901,-0.29296096493274076,0.9560454984465732,0.029316936488746045,-0.23736101057707082,0.9709790254648893
