alpha,beta
0.8499999999999792,-0.7500000000000151
-0.7500000000000151,1.0499999999999785
-1.050000000000014,4.599999999999966
4.549999999999965,0.2499999999999813
-2.700000000000008,-1.050000000000014
2.4999999999999734,-0.05000000000001759
-1.8500000000000112,2.299999999999974
0.349999999999981,-0.20000000000001705
-2.5000000000000093,1.2999999999999776
-2.5000000000000093,0.049999999999982066
-1.6000000000000119,2.1499999999999746
-1.100000000000014,2.6999999999999726
0.5999999999999801,0.4999999999999805
-2.9500000000000077,4.849999999999966
0.5499999999999803,0.8499999999999792
-1.7500000000000115,0.09999999999998188
0.899999999999979,-1.100000000000014
-3.5500000000000047,2.549999999999973
