time,alpha,beta,value,repro
33.75504,-0.5981683,-2.391395,0.005375046,4.633661E-05
133.5961,-1.255899,-2.278442,0.01719517,4.561053E-05
101.6128,-3.289306,2.272963,0.01392789,4.37984E-05
92.61734,-2.307279,-2.436824,0.01345602,4.455635E-05
92.12622,-3.31955,-2.123353,0.01260228,4.684863E-05
70.25519,0.6669176,-1.206094,0.009302347,4.429689E-05
38.28503,-1.062528,0.5356509,0.005862329,4.727685E-05
76.76886,-2.130174,-3.332548,0.009242893,4.126292E-05
56.29529,-2.836784,-1.323221,0.009486606,4.719705E-05
73.76239,-3.227931,-3.630719,0.007894054,3.966861E-05
48.74219,-3.352018,0.8144684,0.005851092,4.571166E-05
54.60468,-3.110156,0.2127287,0.006302172,4.287192E-05
34.54773,-1.917334,-2.344555,0.005026525,4.742005E-05
41.89099,-3.220235,-1.678961,0.00572532,4.472906E-05
51.52777,1.081552,-2.005823,0.007654777,4.424727E-05
63.52478,-2.775676,-1.483559,0.007482467,4.180149E-05
31.94934,-1.900376,-1.186916,0.004834014,4.434876E-05
99.72705,-2.57089,-0.2490027,0.01211828,4.094013E-05
