time,alpha,beta,value,repro
88.12427,2.299935,-2.571222,0.05360436,0.0002791893
229.6096,-0.7112121,0.8911105,0.08615566,0.000214852
191.0573,-1.049559,4.582549,0.1075047,0.0002654436
163.445,4.828396,-1.366455,0.1214093,0.0003353848
172.1377,-2.383035,-1.081852,0.1406036,0.0003680721
153.7277,4.965899,-1.107712,0.0724692,0.0002236704
98.46484,0.4444286,4.855816,0.09005535,0.0004247894
124.4816,0.4499612,-4.999842,0.0637617,0.0002370323
121.693,-2.513819,1.279079,0.06284589,0.0002260643
140.5854,-2.154582,1.026785,0.06152199,0.0002563416
109.4807,-2.888151,1.109144,0.1022166,0.0004405889
91.42383,-1.253738,4.914607,0.05617484,0.0002700714
85.27222,2.128215,-0.959904,0.06412559,0.0003112893
103.3025,-2.012389,3.815331,0.1186835,0.0004884095
99.9115,0.3586556,1.67812,0.09258013,0.000407842
128.4382,-1.477383,-0.3014987,0.05850302,0.000223294
62.36011,-1.743689,-0.2172499,0.03096028,0.0002150019
162.9702,-3.199897,2.394478,0.06425731,0.000198939
