time,alpha,beta,value,repro
75.05881,-2.272014,0.856413,0.01143378,4.501487E-05
112.823,-1.851704,3.188755,0.01502867,4.879439E-05
56.4146,-3.949117,2.696226,0.007275124,4.409166E-05
123.4181,-1.055051,2.233171,0.01558987,4.391513E-05
80.52237,-2.152594,2.8469,0.01219454,4.957128E-05
48.72226,-8.89765E-06,1.614151,0.00801367,4.355255E-05
69.61108,-2.186692,3.954519,0.008713029,4.684424E-05
49.64166,-2.282411,2.810461,0.006260055,4.637078E-05
38.65363,-2.501277,2.404873,0.005647778,4.868774E-05
66.14716,-2.834039,3.230695,0.007867804,4.495888E-05
88.28503,-2.987076,2.817307,0.009290505,4.466589E-05
54.76727,-1.284853,2.478544,0.005582215,4.327299E-05
30.84821,-2.545461,3.065556,0.003901743,4.758223E-05
49.05554,-2.64237,2.557934,0.006375384,4.687782E-05
76.53406,-1.636621,3.240312,0.01005911,4.510814E-05
36.35229,-1.574246,2.522163,0.005655653,4.75265E-05
48.67847,-0.1880156,2.702854,0.006344429,4.597412E-05
75.46545,-3.156465,3.41611,0.00873058,4.217671E-05
