time,alpha,beta,value,repro
93.12291,-2.901863,1.724891,0.01172601,4.562649E-05
106.3844,-2.342933,3.601796,0.01493136,4.911631E-05
66.40494,-1.899615,3.017938,0.007424207,4.419171E-05
122.0736,-1.112774,3.547467,0.01592282,4.472703E-05
88.22986,-1.216242,3.611605,0.01229335,4.956997E-05
54.42172,0.00623968,1.613885,0.00796589,4.329288E-05
75.77515,-2.164728,4.047903,0.008842791,4.728766E-05
49.89758,-2.366663,3.210458,0.006076486,4.603398E-05
42.64587,-2.466769,2.299604,0.005619226,4.84416E-05
68.19312,-1.481158,4.154063,0.008100371,4.475343E-05
84.79047,-2.681949,3.470571,0.009158805,4.46771E-05
52.34753,-1.2412,3.429235,0.005758606,4.362581E-05
38.52277,-2.292391,3.472997,0.003889236,4.74297E-05
52.4599,-0.9492365,3.682818,0.006216897,4.571248E-05
104.3293,-1.835979,3.54385,0.01011111,4.554554E-05
36.84546,-1.634421,2.847461,0.005565687,4.677047E-05
56.65564,-1.51142,3.392064,0.00632862,4.585956E-05
86.34717,-2.189146,3.712401,0.008633805,4.170921E-05
