flag,xl,yl,zl,xr,yr,zr,xc,yc,zc,mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,ray_x,ray_y,ray_z,eye_x,eye_y,eye_z,time,frame
0,-0.6370335,1.458323,8.501952,-0.8033237,1.564436,10.09561,-0.6244068,1.511024,9.295792,-0.05086529,-0.09378356,-0.9942925,0,-0.01621379,0.9955275,-0.0930706,0,-0.998574,-0.01138719,0.05215847,0,9.548992,-4.233329,-28.97441,1,-0.05086537,-0.0162138,-0.9985738,0,-0.09378355,0.9955275,-0.01138718,0,-0.9942923,-0.09307059,0.05215837,0,-28.72033,1.672556,10.99843,1,0,0,0.009712232,-0.09862533,0.9950773,0.0001250608,0.001860046,-0.02139859,3.78,1
0,-0.6201038,-0.5751314,9.617064,-0.9566269,-0.38609,11.22687,-0.7893009,-0.4800686,10.42645,-0.01381731,-0.02144168,-0.9996746,0,-0.02802361,0.9993857,-0.02104814,0,-0.9995118,-0.02772366,0.01440966,0,10.63959,-1.97649,-28.81663,1,-0.01381728,-0.0280236,-0.9995117,0,-0.02144167,0.9993857,-0.02772366,0,-0.9996745,-0.02104814,0.01440969,0,-28.70262,1.666899,10.99484,1,1,1,0.008653066,-0.0974291,0.9952049,9.707641E-05,0.00185614,-0.02138845,3.8,2
0,-0.5902462,-0.4498014,9.526021,-0.9713116,-0.464215,11.26565,-0.7820034,-0.4570644,10.40142,-0.01312435,-0.02174202,-0.9996774,0,-0.02773107,0.9993869,-0.02137163,0,-0.9995292,-0.02744164,0.01371932,0,10.65927,-1.988218,-28.80847,1,-0.01312444,-0.02773107,-0.9995292,0,-0.02174202,0.999387,-0.02744164,0,-0.9996775,-0.02137163,0.01371923,0,-28.70251,1.666908,10.99492,1,1,1,0.01018947,-0.09687462,0.9952445,7.729325E-05,0.00185614,-0.02133447,3.82,3
0,-0.5803127,-0.4747875,9.471449,-0.9543648,-0.3882047,11.21573,-0.7685184,-0.4312191,10.34909,-0.01349676,-0.02241255,-0.9996577,0,-0.02729408,0.9993845,-0.02203791,0,-0.9995363,-0.0269873,0.01410019,0,10.64792,-2.012459,-28.81086,1,-0.01349677,-0.02729409,-0.9995364,0,-0.02241254,0.9993845,-0.0269873,0,-0.9996576,-0.02203791,0.01410018,0,-28.70238,1.666914,10.99491,1,1,1,0.011615,-0.0965479,0.9952606,6.403308E-05,0.001852432,-0.02129536,3.84,4
0,-0.5281582,-0.3887669,9.263963,-0.9564381,-0.3512543,11.23869,-0.7438831,-0.3698741,10.25862,-0.01426065,-0.02321926,-0.9996287,0,-0.02677692,0.9993806,-0.0228315,0,-0.9995397,-0.02644138,0.0148735,0,10.6251,-2.041686,-28.81724,1,-0.0142606,-0.02677692,-0.9995397,0,-0.02321926,0.9993807,-0.02644139,0,-0.9996287,-0.02283151,0.01487356,0,-28.70243,1.666988,10.99484,1,1,1,0.01395637,-0.0950397,0.9953757,5.076546E-05,0.001850517,-0.02127812,3.86,5
0,-0.5204067,-0.3531194,9.241453,-0.9233532,-0.3008238,11.10557,-0.72328,-0.3267908,10.18,-0.0154593,-0.02431343,-0.9995849,0,-0.02624639,0.9993697,-0.02390227,0,-0.999536,-0.02586598,0.01608765,0,10.58966,-2.079497,-28.82745,1,-0.01545926,-0.02624639,-0.999536,0,-0.02431342,0.9993697,-0.02586598,0,-0.9995849,-0.02390227,0.0160877,0,-28.70233,1.667085,10.99473,1,1,1,0.01545828,-0.09449291,0.9954055,3.224146E-05,0.001848389,-0.02124895,3.88,6
0,-0.5070896,-0.3163877,9.193865,-0.9172459,-0.2924175,11.08067,-0.7136364,-0.30432,10.14404,-0.01667726,-0.02524661,-0.9995422,0,-0.02537172,0.99937,-0.02481893,0,-0.999539,-0.02494618,0.01730728,0,10.55311,-2.116519,-28.838,1,-0.01667724,-0.02537171,-0.999539,0,-0.0252466,0.99937,-0.02494619,0,-0.9995421,-0.02481893,0.0173073,0,-28.70223,1.667207,10.99455,1,1,1,0.01542575,-0.09460063,0.9953958,2.142321E-05,0.001849732,-0.02124006,3.9,7
0,-0.4942265,-0.1534066,9.194345,-0.892519,-0.2552999,10.98097,-0.6947842,-0.204733,10.09398,-0.01789629,-0.02651914,-0.9994881,0,-0.02521134,0.9993423,-0.02606385,0,-0.9995219,-0.02473199,0.01855302,0,10.51746,-2.155503,-28.84794,1,-0.01789621,-0.02521134,-0.999522,0,-0.02651914,0.9993423,-0.02473199,0,-0.9994882,-0.02606385,0.01855311,0,-28.70211,1.667357,10.99434,1,1,1,0.01586494,-0.09226555,0.9956081,9.666197E-06,0.001856239,-0.02124832,3.92,8
0,-0.4882526,-0.1899509,9.153666,-0.8845234,-0.2701364,10.93896,-0.6877918,-0.2303451,10.05263,-0.01934326,-0.02673896,-0.9994555,0,-0.02604326,0.9993166,-0.02623122,0,-0.9994738,-0.02552169,0.02002645,0,10.47649,-2.153073,-28.86281,1,-0.01934328,-0.02604327,-0.9994735,0,-0.02673896,0.9993166,-0.02552168,0,-0.999455,-0.02623121,0.0200264,0,-28.70201,1.667337,10.99404,1,1,1,0.01595006,-0.09330386,0.99551,7.056631E-06,0.001856239,-0.02124832,3.96,9
0,-0.4842949,-0.1923989,9.134654,-0.8857117,-0.3126271,10.92891,-0.6864491,-0.2529684,10.03823,-0.01984704,-0.02651762,-0.9994513,0,-0.02609431,0.9993214,-0.025996,0,-0.9994624,-0.02556405,0.02052557,0,10.46171,-2.146209,-28.86854,1,-0.01984708,-0.02609432,-0.9994625,0,-0.02651763,0.9993215,-0.02556406,0,-0.9994513,-0.025996,0.02052553,0,-28.70197,1.667278,10.99377,1,1,1,0.0159712,-0.09386159,0.9954572,8.04849E-06,0.00185878,-0.02126027,3.98,10
