time,alpha,beta,value,repro
81.50774,-0.5568436,0.09295805,0.01062998,4.485224E-05
84.71409,0.07988792,-0.5550896,0.01128576,4.62531E-05
55.97902,-2.18984,-0.2613447,0.00629752,4.226523E-05
103.2438,1.705555,-0.1028772,0.01289887,4.257052E-05
66.37039,-0.4350229,-1.133963,0.00931203,4.609916E-05
51.50769,2.665997,-1.655456,0.006950079,4.237853E-05
61.50693,0.1233029,-0.82665,0.007430574,4.530838E-05
42.15308,-0.3383747,-1.6783,0.005203819,4.564754E-05
29.6698,-1.320406,-0.7980858,0.003948988,4.487486E-05
83.79712,-0.1782863,-0.8713603,0.006817246,4.370029E-05
87.29303,-0.1824354,-1.247916,0.008149895,4.358232E-05
57.44867,1.436649,0.4063081,0.004421433,4.132181E-05
29.11505,0.008823304,-1.233875,0.003267735,4.877217E-05
41.75995,-0.4655467,-1.304609,0.005338326,4.602005E-05
66.35413,0.7902753,0.1495255,0.008042824,4.188971E-05
31.98297,-1.058278,-0.6549193,0.004018793,4.230309E-05
42.5564,0.01134911,-0.7630677,0.005166723,4.492803E-05
66.75574,1.578905,0.565992,0.007053663,4.077261E-05
