time,alpha,beta,value,repro
25.76496,-0.4386034,-2.034994,0.004226321,4.593828E-05
105.5432,0.4411506,-0.4014158,0.01373137,4.40108E-05
84.60887,-1.74312,3.029663,0.0123061,4.426654E-05
68.54808,0.3621734,0.4083982,0.01084455,4.337821E-05
70.65125,-0.5380741,-0.4772731,0.009844383,4.454472E-05
70.10147,0.7275817,-0.2172015,0.008395741,4.418811E-05
32.06592,0.2836142,2.241224,0.004780919,4.780919E-05
64.07462,1.110464,-0.3635754,0.007630066,4.015824E-05
56.08185,-9.005136E-05,1.246045,0.008137036,4.703489E-05
64.96051,-0.146257,-1.02179,0.007114395,3.952442E-05
39.37537,0.5575633,0.5742747,0.004854898,4.537288E-05
47.09869,0.2783285,0.317399,0.0052744,4.21952E-05
28.46075,1.130766,0.494488,0.003456696,4.375564E-05
27.34796,0.1885283,1.459702,0.004329404,4.463303E-05
42.75684,1.571723,-0.04639254,0.006344057,4.286525E-05
51.91907,1.254393,0.8454129,0.00627964,4.02541E-05
23.99091,0.6545413,-0.02309411,0.003363407,4.257477E-05
86.57281,-1.414333,1.726143,0.009623803,4.009918E-05
