time,alpha,beta,value,repro
171.1829,1.009092,-0.4593365,0.09785513,0.0002803872
152.3446,-0.5988663,4.524028,0.08834735,0.0002474716
103.4863,-0.9714047,1.327305,0.07938707,0.0003101057
151.7972,4.331014,2.985431,0.2072314,0.0005821105
170.8171,-2.682259,-1.064659,0.1294624,0.0003796552
109.2957,1.42035,0.3749218,0.05688432,0.000237018
131.0956,-2.242938,0.9465671,0.096182,0.0003713591
110.2346,0.1581807,-0.1527543,0.07308556,0.0003547843
77.13647,-2.268684,-0.8880767,0.05525119,0.0002892732
135.8483,-2.97688,-0.5923063,0.06686737,0.0002869844
151.3308,-1.430444,1.893116,0.1054378,0.0004070959
85.08105,-3.534668,2.818105,0.03849082,0.0002237838
89.0896,0.5811337,0.5580205,0.07238927,0.0003770274
93.41772,-3.029275,4.882574,0.1140583,0.0005380107
116.8457,1.217427,0.3909957,0.05037016,0.0002353746
80.89844,-2.138732,1.074658,0.04659559,0.0002693387
83.7666,1.583584,-0.7385194,0.05604313,0.0003130901
112.0579,0.6916756,0.3392467,0.05377029,0.0002368735
