alpha,beta
-1.2000000000000135,-2.8000000000000083
-0.3500000000000165,-1.6000000000000119
-2.450000000000009,1.0499999999999785
-0.3500000000000165,-1.5000000000000124
-1.050000000000014,-1.8500000000000112
2.349999999999974,-1.900000000000011
-1.2000000000000135,0.3999999999999808
-0.1000000000000174,-2.9500000000000077
-1.1500000000000137,-1.100000000000014
-1.050000000000014,-2.6500000000000083
0.2499999999999813,-1.7000000000000115
-1.3500000000000127,-1.250000000000013
0.19999999999998155,-1.4500000000000126
-0.45000000000001616,-1.4500000000000126
1.0999999999999783,-0.3000000000000167
-1.050000000000014,-2.3000000000000096
-0.8000000000000149,-1.3000000000000131
0.5499999999999803,-0.2500000000000169
