alpha,beta
0.8499999999999792,-0.7500000000000151
-0.7000000000000153,1.0499999999999785
-1.050000000000014,4.599999999999966
3.7999999999999687,1.7499999999999758
-2.700000000000008,-1.050000000000014
2.3999999999999737,0.2999999999999812
-0.2500000000000169,2.8499999999999712
0.349999999999981,-0.20000000000001705
-1.5000000000000124,-0.6000000000000156
0.3999999999999808,-0.8500000000000147
-2.5000000000000093,1.0499999999999785
-1.5000000000000124,2.549999999999973
0.6499999999999799,0.4999999999999805
-2.9500000000000077,4.849999999999966
3.2999999999999705,-0.20000000000001705
-2.2500000000000098,0.44999999999998064
0.899999999999979,-1.100000000000014
-3.3000000000000065,2.6999999999999726
