time,alpha,beta,value,repro
28.61072,-0.4589802,-2.143437,0.004293396,4.616555E-05
94.74723,-0.08879711,-1.204341,0.01375224,4.379695E-05
91.61249,-1.750981,3.055814,0.01203251,4.375458E-05
87.65329,0.9994454,-0.5435427,0.01115379,4.323175E-05
74.36343,-0.5341266,-0.5814187,0.009828132,4.427086E-05
66.80539,1.811336,-1.141354,0.008327172,4.382722E-05
35.34058,-0.2997282,1.886027,0.005003081,4.85736E-05
73.32056,1.221024,-0.6507547,0.007669179,4.015277E-05
53.06,-1.447419,0.4863733,0.007868681,4.656024E-05
60.0166,-0.1735603,-1.091354,0.006918631,3.908831E-05
39.52838,-1.19158,0.3252454,0.004898346,4.577893E-05
39.01361,0.3438202,-0.04643677,0.005283434,4.226747E-05
28.3811,1.161017,0.5175933,0.003446015,4.362044E-05
29.56757,0.1998796,1.463852,0.004185754,4.406057E-05
50.37457,1.454147,-0.2085124,0.006421702,4.309867E-05
50.78235,1.269489,0.7661588,0.006347996,4.069228E-05
26.21057,0.6660269,0.0001316311,0.0033201,4.256538E-05
86.49146,0.2876432,1.018368,0.009572348,3.971929E-05
