time,alpha,beta,value,repro
78.95378,1.349975,0.3341772,0.01224295,4.619982E-05
94.65381,1.813786,0.6231561,0.01452211,4.792776E-05
61.72839,-1.489909,0.9778481,0.007164651,4.342213E-05
120.8188,2.524828,0.5423299,0.01561426,4.386028E-05
84.79861,1.361429,-0.1228339,0.01205684,4.86163E-05
66.6965,2.686674,-1.052379,0.008456387,4.404368E-05
78.48621,0.1579332,1.370616,0.008515543,4.578249E-05
54.89594,1.607013,-0.5439194,0.005714988,4.571991E-05
37.68292,1.894622,1.239125,0.005668233,4.844643E-05
60.54407,2.832331,0.03836372,0.007457198,4.412543E-05
86.21985,2.669472,0.2483049,0.009347675,4.494075E-05
49.11548,2.639366,0.99006,0.005548482,4.268063E-05
30.52911,2.106416,1.533023,0.003777501,4.84295E-05
47.58917,2.745718,0.9724333,0.006432419,4.661173E-05
79.2074,1.921134,0.1620223,0.009354253,4.350816E-05
40.84888,1.870456,-0.5443621,0.005216317,4.420607E-05
50.58533,2.172051,-1.058604,0.006366981,4.547843E-05
76.36304,3.212664,0.5534814,0.008485187,4.159405E-05
