time,alpha,beta,value,repro
26.89874,-0.4305763,-0.7725337,0.004239893,4.608579E-05
105.6968,-0.1486291,1.800626,0.01380817,4.383547E-05
91.01088,-0.6772833,4.918487,0.01226054,4.442224E-05
69.73381,0.8534915,2.464608,0.01067769,4.271077E-05
84.18079,-0.01541771,1.591072,0.009675523,4.438313E-05
67.28189,3.674341,1.187551,0.007859712,4.271583E-05
34.22794,0.5301653,2.639636,0.004896368,4.800361E-05
69.01279,1.776306,-0.313683,0.007535983,4.073505E-05
49.47412,0.7439149,2.755899,0.00792463,4.661547E-05
68.4754,-0.2923927,1.748196,0.00696896,3.871644E-05
44.5531,0.9396943,2.721948,0.005175246,4.579864E-05
42.92792,0.4883882,1.854746,0.005324043,4.19216E-05
29.74829,3.702514,2.838922,0.003184321,4.362084E-05
32.6734,-0.3878649,2.365027,0.004577874,4.444538E-05
45.43964,2.863479,2.373393,0.005955109,4.078842E-05
50.87061,-0.4319102,1.925476,0.0062214,3.962675E-05
29.60614,0.6718255,3.005375,0.003187891,4.194594E-05
85.94171,-1.396355,2.733286,0.009779681,4.02456E-05
