alpha,beta
-0.500000000000016,0.09999999999998188
-0.15000000000001726,-0.15000000000001726
-1.7500000000000115,1.2999999999999776
0.2499999999999813,0.44999999999998064
-0.7500000000000151,0.049999999999982066
2.349999999999974,-1.5500000000000125
-0.05000000000001759,0.4999999999999805
-0.1000000000000174,-0.45000000000001616
0.09999999999998188,1.5499999999999767
-0.7000000000000153,-0.05000000000001759
0.5499999999999803,0.5499999999999803
0.2999999999999812,0.349999999999981
1.0499999999999785,1.1499999999999782
-0.9000000000000146,1.0499999999999785
1.0999999999999783,-0.05000000000001759
-0.5500000000000158,0.09999999999998188
0.2499999999999813,0.2999999999999812
0.9999999999999788,0.7499999999999796
