time,alpha,beta,value,repro
69.81102,-0.9844033,0.4196012,0.0101133,4.41629E-05
79.4589,-0.1891799,0.9495177,0.01147304,4.626226E-05
46.21321,-1.203045,1.277387,0.006392989,4.233768E-05
112.0706,2.508538,0.9946108,0.01300202,4.262957E-05
61.1091,-0.1872455,0.5828444,0.008794495,4.533245E-05
50.89297,2.680906,-1.64152,0.006745346,4.189656E-05
69.29636,-0.03324489,0.6636491,0.008032003,4.642777E-05
45.5209,-0.2826787,0.9301315,0.00513153,4.501342E-05
28.2641,0.1845038,1.786956,0.003934078,4.420313E-05
65.8985,-1.487908,0.5747316,0.006666756,4.357357E-05
74.22705,-0.6581007,1.486025,0.007991968,4.296757E-05
45.87036,-1.557002,2.647479,0.004434268,4.144176E-05
28.32074,-0.001305421,1.283233,0.003548804,4.928894E-05
45.49988,-0.2878925,1.327579,0.005425472,4.483861E-05
69.297,0.9756523,0.4286675,0.008178549,4.259661E-05
30.60901,-0.5484307,0.1636262,0.004134841,4.219225E-05
38.77795,-0.3917219,-0.336714,0.005073107,4.489475E-05
61.69843,1.11846,0.6314168,0.006895361,4.056095E-05
