time,alpha,beta,value,repro
84.04044,2.424361,-2.393726,0.05359191,0.0002791245
228.1455,-0.7160623,0.8887509,0.08615184,0.0002148425
195.3387,-1.049245,4.578612,0.1075104,0.0002654578
169.4667,4.112049,-1.160246,0.1214569,0.0003355163
167.3017,-2.435357,-0.7992714,0.1405876,0.0003680304
154.3531,4.960264,-1.104095,0.07242486,0.0002235335
96.5708,0.4310262,4.82409,0.09007717,0.0004248923
125.3539,-0.00156912,-4.993803,0.06387645,0.0002374589
133.6571,-2.513819,1.279079,0.06284328,0.000226055
103.6481,-2.931995,0.9847727,0.06158245,0.0002565935
102.0201,-2.884894,1.110622,0.1022098,0.0004405596
95.72119,-3.669528,4.973528,0.05561037,0.0002673575
86.70581,2.077299,-0.9645319,0.06412777,0.0003112998
100.892,-2.005252,3.821571,0.1186764,0.0004883801
86.01294,0.3560298,1.677751,0.09274868,0.0004085845
119.8104,-1.492177,-0.2952123,0.05846645,0.0002231544
56.96924,-1.74598,-0.2153404,0.03095992,0.0002149995
168.3701,-3.197991,2.388783,0.06418964,0.0001987295
