time,alpha,beta,value,repro
185.4123,0.8674229,-0.6259661,0.09778897,0.0002801976
180.7916,-0.6080381,4.536099,0.0882186,0.0002471109
120.5299,-0.9625423,1.331453,0.07937901,0.0003100742
192.4949,3.808706,3.483968,0.2075309,0.000582952
197.5472,-2.682397,-1.064107,0.1287213,0.0003774818
115.3083,1.948489,0.1387468,0.05691654,0.0002371523
156.1953,0.02532274,0.5339362,0.09598575,0.0003706013
134.006,0.1551621,-0.1510088,0.07300824,0.0003544089
86.73743,-2.416348,-0.8222588,0.05525058,0.00028927
142.5378,0.4340361,-0.841,0.06665118,0.0002860566
186.0757,-1.492416,2.01719,0.1056801,0.0004080314
96.44458,-3.492513,2.804071,0.03848422,0.0002237454
107.7388,0.7643144,0.5368072,0.07255697,0.0003779009
111.1107,-3.029462,4.881209,0.1140312,0.0005378829
136.2576,1.217574,0.3921134,0.05036573,0.0002353539
87.7688,-2.13906,1.075019,0.04662542,0.0002695111
92.87231,1.567511,-0.7379739,0.05611327,0.000313482
113.6543,0.6928514,0.3386065,0.05378445,0.0002369359
