time,alpha,beta,value,repro
32.66787,-0.602187,-2.385928,0.005496406,4.738281E-05
121.3032,-0.822755,-0.4127684,0.01750372,4.546421E-05
104.9469,-2.368843,1.632304,0.01425847,4.455771E-05
81.14258,-0.3040012,0.4033397,0.01385699,4.469997E-05
88.50586,-0.6370671,-0.6294423,0.01242394,4.550894E-05
75.00043,3.498934,-0.377589,0.009768062,4.501411E-05
43.48773,-0.9328325,0.9856067,0.005872251,4.774188E-05
71.19849,0.6562596,-2.927114,0.009062873,4.064069E-05
63.49475,-1.063699,-0.4456903,0.009576083,4.717282E-05
65.54529,-0.7451288,-1.007497,0.007849758,3.964525E-05
43.86414,-1.973173,0.7624858,0.006118058,4.600043E-05
52.68573,-0.8680062,0.663113,0.006595321,4.339027E-05
36.04919,1.050678,0.2740107,0.004877244,4.644994E-05
38.69824,-0.6365075,0.4144488,0.005727382,4.50975E-05
50.04614,1.663259,-0.1367417,0.007663695,4.429881E-05
56.56213,-1.391218,-0.5969228,0.007564323,4.179184E-05
31.23315,-0.6820651,-0.6253909,0.004553101,4.463825E-05
97.73254,0.1784796,1.348876,0.01269225,4.147793E-05
