time,alpha,beta,value,repro
79.17918,-1.323447,1.163844,0.01167482,4.560475E-05
110.1395,0.1179462,3.313071,0.01426738,4.787712E-05
57.44522,-0.6724826,3.800998,0.007337159,4.393508E-05
134.5637,1.785554,1.070189,0.01588348,4.412077E-05
89.99918,1.191498,3.281492,0.01228415,4.874661E-05
56.94803,2.163856,-0.2549718,0.008232382,4.402343E-05
67.85712,1.853296,3.843143,0.009202284,4.792856E-05
55.85498,-0.1499732,2.554841,0.006346513,4.632491E-05
37.17017,0.844668,3.809879,0.005810816,4.842347E-05
75.61414,1.673794,3.57935,0.007778049,4.470143E-05
87.92395,1.172461,2.119608,0.008907575,4.476168E-05
61.11597,2.116344,3.925349,0.005609585,4.282126E-05
28.72314,2.52963,3.057498,0.003827032,4.667112E-05
44.80969,1.663349,3.806148,0.006404605,4.510285E-05
79.95581,0.4033748,2.851827,0.009790573,4.450261E-05
45.18848,1.640434,2.622153,0.005686943,4.699953E-05
61.86182,0.8609813,1.919123,0.00628352,4.488228E-05
85.29822,3.439188,2.088431,0.008790563,4.166143E-05
