time,alpha,beta,value,repro
80.38613,-0.1233174,2.23073,0.01142544,4.480564E-05
83.20442,-0.09585318,2.11448,0.0146879,4.815706E-05
61.16321,-1.158905,1.451815,0.007651443,4.4228E-05
114.323,0.5196326,1.537327,0.01562342,4.425898E-05
80.26447,0.1888294,1.818709,0.01230463,4.863489E-05
57.73569,2.943657,-0.2723763,0.008203857,4.340665E-05
67.35281,0.3324644,1.748511,0.00908352,4.706487E-05
47.81323,0.2737774,1.84266,0.005801796,4.532653E-05
36.17963,0.4773366,2.598538,0.005406293,4.742362E-05
67.70013,0.4375584,1.931414,0.00809932,4.601886E-05
86.48737,0.1287825,2.032406,0.009242016,4.40096E-05
56.90527,0.7314582,2.025032,0.005213287,4.204264E-05
46.73236,0.9897901,1.852164,0.004093496,4.815878E-05
51.5498,0.1484306,1.869253,0.006263472,4.538747E-05
72.04865,0.7823394,0.3844375,0.009949195,4.461523E-05
35.40002,0.4635527,2.026027,0.005246904,4.523193E-05
51.02124,0.8164346,1.756709,0.006328694,4.553017E-05
78.30066,0.9348478,1.993541,0.008838908,4.229142E-05
