time,alpha,beta,value,repro
29.55761,0.7277194,-3.859625,0.004406696,4.638627E-05
101.7251,-0.06287148,-3.574969,0.01356183,4.417535E-05
88.34389,0.6889873,-0.02942314,0.01237205,4.450377E-05
86.29205,1.463512,-3.734571,0.01137321,4.374312E-05
76.78485,1.459388,-3.332288,0.009801663,4.455301E-05
66.49799,3.877299,-4.610965,0.008726557,4.385204E-05
34.18973,0.3386627,-1.179595,0.004752682,4.752682E-05
61.9386,0.659788,-2.930354,0.007519268,3.978449E-05
57.12463,-0.4027873,-1.545591,0.007369929,4.577596E-05
66.67352,1.306423,-4.054797,0.006879854,3.801024E-05
40.01569,1.493866,-1.986642,0.005106445,4.684812E-05
43.11237,0.2501022,-1.363175,0.005348905,4.245163E-05
27.29724,1.465088,-0.6249565,0.003670968,4.532059E-05
26.96466,-0.6665574,0.4277811,0.004048354,4.400385E-05
44.3056,2.735356,-2.17078,0.006124566,4.166371E-05
50.12665,-0.1341692,-1.661879,0.006053095,4.008672E-05
24.60651,1.263776,-3.872061,0.003317873,4.253684E-05
78.37201,0.4776292,-0.3201934,0.009229217,3.995332E-05
