time,alpha,beta,value,repro
31.55384,0.4527251,-1.208813,0.005144167,4.634385E-05
126.5469,1.095691,-0.4939613,0.0176877,4.630287E-05
104.7182,1.217827,1.374694,0.0144683,4.521345E-05
88.85333,1.661058,0.4636857,0.01382128,4.48743E-05
94.65286,1.307117,-0.3031677,0.01248524,4.624162E-05
78.2291,3.678422,-0.2728417,0.009965112,4.529596E-05
41.05298,0.7379158,0.04668018,0.005898118,4.874478E-05
73.33191,3.106449,-0.3838343,0.009051866,4.041012E-05
74.33643,1.441062,1.451207,0.009611364,4.711453E-05
65.02704,-0.1740814,-1.091688,0.008086883,4.084285E-05
52.71637,1.21732,2.448127,0.006582897,4.668722E-05
57.04675,1.328461,0.9257848,0.006634006,4.335952E-05
36.88049,1.18433,0.3034098,0.004397595,4.533603E-05
39.98871,-0.6380027,0.4103829,0.005482013,4.456921E-05
52.84833,2.156357,0.0420443,0.007695152,4.448065E-05
56.23694,1.297978,0.6422372,0.007244797,4.047373E-05
33.93689,1.522707,0.02140994,0.004772156,4.502034E-05
104.6233,0.87218,1.34965,0.01274934,4.139397E-05
