1,27
55,65
110,124
189,217
220,238
260,269
327,340
353,416
417,454
466,483
501,510
517,535
536,584
585,610
611,628
774,787
789,806
809,826
860,868
870,880
883,899
901,911
927,936
960,975
989,1005
1006,1017
1027,1039
1056,1065
1099,1111
1117,1133
1134,1145
1148,1164
1181,1192
1194,1217
1219,1227
1251,1276
1277,1286
1288,1303
1304,1313
1319,1327
1340,1349
1351,1370
1371,1402
1404,1414
1464,1479
1481,1500
1512,1530
1533,1547
1579,1590
1600,1610
1611,1635
1640,1649
1656,1665
1674,1684
1691,1711
1718,1729
1746,1758
1793,1803
1822,1841
1842,1853
1856,1866
1870,1886
1887,1910
1911,1928
1929,1973
1994,2003
2062,2074
2082,2096
2140,2153
2176,2184
2185,2198
2200,2213
2214,2237
2252,2265
2268,2362
2365,2374
2376,2388
2411,2434
2436,2448
2483,2491
2494,2504
2518,2530
2562,2575
2594,2604
2623,2634
2676,2684
2690,2728
2740,2751
2753,2761
2778,2790
2792,2809
2811,2824
2827,2842
2844,2855
2858,2869
2913,2923
2947,2966
2980,2991
