time,alpha,beta,value,repro
28.09384,0.9956132,-2.864535,0.02576785,0.0002996261
54.48667,-0.7342722,1.4601,0.03948696,0.0003494421
54.75005,-1.612213,-0.7665052,0.03324428,0.0002817312
59.09541,4.539665,0.4380383,0.02490422,0.0002327497
36.95711,-0.3157199,-1.135287,0.02158465,0.0003597442
42.4791,2.012417,0.1171363,0.02381763,0.0002268345
74.45612,-2.234629,0.9631889,0.04467398,0.0004024683
28.02762,-2.496875,0.8954877,0.01882858,0.0003486775
41.09619,-0.5766341,0.1282587,0.02868811,0.0003118273
44.60184,-2.666219,0.2683176,0.02786273,0.0002843136
62.33206,0.1509409,1.523501,0.02629573,0.0003057643
36.00818,-0.969644,2.295457,0.01722624,0.0002460892
29.42023,0.8335699,-0.4734283,0.02111907,0.0003406302
52.20947,1.602873,2.779103,0.03585404,0.0004218123
62.40186,2.195951,-0.3116718,0.02624669,0.0002322716
36.55499,-4.724579,1.477457,0.02034444,0.0002786909
38.76996,-3.146904,-3.861821,0.02332371,0.0003380248
47.62323,-1.309861,0.9970139,0.03133927,0.0002749059
