time,alpha,beta,value,repro
26.53548,0.6878566,-4.045885,0.004234323,4.553036E-05
102.6713,1.447923,-4.18997,0.0133366,4.38704E-05
82.05272,-2.590338,0.4091311,0.01220221,4.421089E-05
80.64418,1.056636,-4.015573,0.0110774,4.34408E-05
71.87024,0.9896759,-3.538836,0.009903189,4.460896E-05
67.84009,4.529087,-4.544778,0.008781937,4.390968E-05
34.67664,0.3492451,-1.181002,0.004713184,4.713184E-05
62.21051,0.6562166,-2.928904,0.007418961,3.967359E-05
52.78345,-1.596686,0.4885939,0.007726115,4.626416E-05
65.5022,1.413548,-4.141346,0.006892683,3.808112E-05
35.28412,1.686604,-2.608681,0.004945835,4.579477E-05
45.68158,-0.07024171,-2.03203,0.005190861,4.220213E-05
26.52521,1.464059,-0.6164167,0.003668275,4.528735E-05
25.39081,-0.6541595,0.4260693,0.004030704,4.334091E-05
46.48553,3.650302,-2.280409,0.006307628,4.233307E-05
47.50055,-0.138892,-1.651005,0.005992077,3.942156E-05
24.60022,0.6321334,-4.503812,0.003303734,4.235556E-05
77.38666,0.4707333,-0.3078784,0.009221554,3.992015E-05
