time,alpha,beta,value,repro
167.9221,0.8678978,-0.622106,0.09780293,0.0002802376
153.8835,-0.5988663,4.524028,0.0882801,0.0002472832
104.7831,-0.9714047,1.327305,0.0794246,0.0003102524
155.8548,4.329563,3.001236,0.2072493,0.0005821609
167.923,-2.682504,-1.064135,0.1294322,0.0003795665
111.145,1.42035,0.3749218,0.05688712,0.0002370297
142.9791,-0.1375074,0.606279,0.09580801,0.0003699151
104.6243,0.1565337,-0.153398,0.07308833,0.0003547977
80.26575,-2.39372,-0.8276712,0.05526977,0.0002893705
142.6907,0.3266208,-0.8226002,0.06687147,0.000287002
147.7457,-1.444703,1.909118,0.1054524,0.000407152
85.18408,-3.534668,2.818105,0.03849082,0.0002237838
89.48535,0.5811337,0.5580205,0.07239859,0.000377076
98.87488,-3.029275,4.882574,0.1140506,0.0005379746
115.5027,1.218283,0.3908767,0.05036429,0.0002353471
82.77319,-2.139194,1.074109,0.04659276,0.0002693223
83.12817,1.610282,-1.164778,0.05607074,0.0003132444
117.8386,0.6911455,0.340767,0.05378278,0.0002369285
