time,alpha,beta,value,repro
78.39301,-4.024315,-1.886061,0.01055036,4.528051E-05
212.6638,-3.540053,-0.3877032,0.01044376,4.540763E-05
51.15469,-2.366998,1.013795,0.006476004,4.317336E-05
96.88913,-1.961838,-0.2740893,0.01200386,4.125039E-05
77.85574,-4.357754,-2.384678,0.009462956,4.638704E-05
50.56219,0.3047213,-1.796087,0.006989727,4.185465E-05
55.55176,-3.637476,-0.7956828,0.007112018,4.529948E-05
48.9104,-4.626409,-1.942859,0.005811983,4.803292E-05
30.93347,-4.872491,-2.05566,0.003975628,4.569688E-05
59.58167,-4.343662,-0.8882494,0.00668048,4.282359E-05
77.784,-2.559275,0.7497027,0.007912658,4.277112E-05
42.88312,-2.234038,-1.109597,0.004457127,4.244883E-05
25.35852,-2.996753,-1.486738,0.003064196,4.863804E-05
38.48273,-4.009595,-1.412137,0.004941819,4.575758E-05
65.92432,-0.6427984,-0.5225412,0.008064049,4.156727E-05
34.53796,-3.438437,-1.809959,0.004123256,4.295059E-05
45.86804,-2.069816,-1.467147,0.005215246,4.615262E-05
68.03333,-2.708426,0.1501079,0.006785851,4.015296E-05
