time,alpha,beta,value,repro
88.66944,-2.55093,-1.425864,0.01219144,4.600543E-05
97.18615,-0.8594928,-0.5371203,0.01410143,4.812773E-05
60.93373,-2.552388,0.3170957,0.007585932,4.436217E-05
119.1175,-0.2302356,-0.4069943,0.01507781,4.32029E-05
90.76089,-2.112979,-1.221063,0.01233235,4.855257E-05
57.93219,2.562489,-1.727174,0.008421778,4.386343E-05
63.41656,-2.494805,0.1519914,0.008248089,4.607871E-05
46.91681,-1.762287,-1.399757,0.006082037,4.642777E-05
37.54358,-2.570403,-1.308818,0.005692632,4.865497E-05
73.00934,-2.764498,-0.3028316,0.007770085,4.414821E-05
83.07953,-1.415927,1.228485,0.009268223,4.351278E-05
49.53589,-1.610554,-1.291222,0.005568996,4.317051E-05
32.10034,-1.237886,0.1646753,0.003851807,4.814758E-05
46.33661,-2.330512,-1.334655,0.006335086,4.658151E-05
66.90656,-1.316542,-0.5068048,0.009340186,4.284489E-05
36.94653,-1.865118,-1.625918,0.00508804,4.50269E-05
51.83862,-2.251955,-1.578535,0.006470493,4.556685E-05
76.06616,-2.44474,-0.1216365,0.00876498,4.213933E-05
