time,alpha,beta,value,repro
49.01721,3.973463,-2.83368,0.02817267,0.0002561152
131.0639,-0.3748508,1.613517,0.05177403,0.000220315
82.21786,1.312138,4.999241,0.05180137,0.0002726388
111.5876,4.85657,-1.385011,0.08322354,0.0003289468
59.94635,-3.86761,-0.08829807,0.07265189,0.0004350413
180.7514,4.917478,-2.437424,0.0489727,0.0002101833
56.34088,-4.650329,3.68527,0.05128449,0.0003689532
103.4605,-0.001195951,-4.998728,0.05189421,0.000225627
95.26593,-0.4325799,-1.113006,0.05259189,0.0002316823
85.14246,-2.996794,0.8412323,0.04390275,0.0002494474
59.11267,-2.989092,0.3176258,0.06304814,0.0004378343
74.18469,-3.555595,4.945779,0.04323328,0.0002807355
49.48193,0.2006187,-0.1706868,0.04220262,0.0002993094
74.60962,-4.507877,2.500077,0.09020638,0.0004673906
76.2655,0.3543228,1.673262,0.09057504,0.0004212793
95.46765,-1.304642,-0.1595248,0.046555,0.0002145392
41.77893,-2.216806,-4.951416,0.02688871,0.0002151097
117.0447,-3.242634,2.70806,0.05058329,0.0001908803
