time,alpha,beta,value,repro
37.9431,-0.5336637,-1.288087,0.005274192,4.667426E-05
120.7952,-1.631483,-0.0009437055,0.01762148,4.60091E-05
98.66826,-2.133219,1.867544,0.01471226,4.499162E-05
91.43768,-2.301798,0.3149782,0.01411038,4.479484E-05
92.6239,-2.167758,-0.05755669,0.01237336,4.582726E-05
70.78403,0.4135566,0.08956755,0.00935335,4.411957E-05
39.15906,-1.180543,1.117991,0.005851818,4.719208E-05
78.89288,2.018459,-0.4135368,0.008854887,4.080593E-05
67.45154,-1.935325,0.8763726,0.009767802,4.741651E-05
63.49628,-1.280829,-0.9065033,0.008006935,4.064434E-05
47.85498,-3.326203,1.128855,0.006221662,4.608638E-05
53.21143,-1.529245,1.300306,0.006673053,4.305196E-05
35.76917,1.069764,1.134932,0.004513307,4.558896E-05
39.56525,-1.994802,2.639657,0.005546582,4.40205E-05
57.28455,-0.3280571,1.673957,0.007384777,4.343986E-05
55.47272,-2.87038,-0.04257001,0.00759022,4.216789E-05
35.66833,0.2493502,-0.01656661,0.004606368,4.387017E-05
103.512,-2.234014,1.968052,0.01244351,4.066508E-05
