time,alpha,beta,value,repro
74.95215,-2.263698,-2.439593,0.01082323,4.52855E-05
71.88542,-0.3623692,-1.470165,0.01062727,4.50308E-05
47.70001,-2.373427,1.012589,0.006292352,4.251589E-05
103.4372,-0.02051179,-1.063286,0.01267029,4.19546E-05
66.64713,-1.193847,-3.277134,0.009360725,4.634022E-05
51.77496,1.339652,-2.871452,0.006875931,4.218363E-05
74.76962,-2.109403,-1.823443,0.007026661,4.47558E-05
39.07718,-1.405553,-3.965076,0.005626267,4.727956E-05
24.67511,-2.205355,-2.886637,0.003798894,4.469287E-05
60.54156,-1.157389,-2.686566,0.006796332,4.38473E-05
75.66766,0.5654541,-1.896976,0.007933234,4.288234E-05
39.52966,-1.607836,-1.289631,0.004122409,4.164049E-05
23.35065,-1.475092,-2.117156,0.003181061,4.747852E-05
42.75909,-2.154696,-1.67168,0.005412953,4.706915E-05
55.76288,-1.250599,-0.6499016,0.008205431,4.229603E-05
32.43805,-1.702288,-2.225143,0.003862912,4.244958E-05
44.12903,-2.950653,-3.263191,0.005177351,4.581727E-05
62.12073,0.8863595,-0.7575371,0.006660876,3.918162E-05
