time,alpha,beta,value,repro
4.862589,-0.7479617,-2.478348,0.0003770599,3.7706E-05
28.00178,-1.898476,-4.183454,0.003060184,4.026559E-05
7.314377,-0.6013116,1.756245,0.000526814,3.762957E-05
13.98177,3.22101,0.3337553,0.001583248,3.958119E-05
7.003136,-1.118105,-3.325584,0.0008287535,4.604186E-05
16.51997,3.652965,-4.773864,0.001702944,4.257361E-05
5.173447,-4.646838,1.898541,0.0006966104,4.644069E-05
25.04835,-0.1488078,-2.956552,0.00287835,3.787303E-05
16.36444,-3.400696,0.09817468,0.001937976,4.506922E-05
15.16599,-0.7562989,-1.418377,0.001762029,3.830497E-05
8.696243,-3.215285,0.6075643,0.0007458875,4.387574E-05
10.69873,-2.27758,-0.3389723,0.0009940307,3.976123E-05
4.183289,1.079387,1.098572,0.0005457032,5.457032E-05
6.851608,1.234262,3.736842,0.000562156,4.324277E-05
13.761,2.880217,-0.9913135,0.001274673,3.749038E-05
13.24089,-0.8703114,0.798651,0.001319908,3.567319E-05
5.096146,-0.6426074,-4.520312,0.000599846,3.749038E-05
26.28139,-0.4184944,2.099425,0.002342598,3.904331E-05
