time,alpha,beta,value,repro
32.55967,-0.6063907,-2.388643,0.005570453,4.720722E-05
119.6076,-1.157426,-1.763012,0.01761132,4.586282E-05
115.1811,-2.192473,0.8461583,0.01392931,4.394105E-05
91.64468,-1.070688,-0.9966851,0.01361039,4.477102E-05
92.51837,-1.911491,-1.374502,0.01243176,4.570499E-05
76.86896,1.272849,-1.314137,0.009601288,4.445041E-05
40.883,-0.861053,1.008519,0.005922044,4.775842E-05
72.93585,-0.1301939,-1.132502,0.009175793,4.060085E-05
61.31213,-0.9840851,-1.018625,0.009341142,4.670571E-05
64.46527,-0.3759966,-1.407548,0.008092276,4.006077E-05
45.03247,-2.438253,0.9120051,0.0060311,4.639307E-05
53.33032,-2.529977,-0.296847,0.006374026,4.306774E-05
37.8913,-0.9936258,-0.2493223,0.00520265,4.817269E-05
32.76147,-0.77743,-0.8457384,0.005651207,4.449769E-05
50.6427,1.145082,-0.1223942,0.007494799,4.382923E-05
56.31152,-1.666061,-1.26665,0.007628908,4.238282E-05
28.21252,-1.167431,-1.053524,0.00457039,4.437271E-05
87.53638,0.2026152,1.286592,0.0124293,4.115661E-05
