time,alpha,beta,value,repro
161.8163,1.017694,-0.4586736,0.09782267,0.0002802942
168.5002,-0.547726,4.336479,0.08814983,0.0002469183
122.2935,-2.175611,1.496682,0.07919814,0.0003093678
191.363,3.596672,3.170085,0.2076183,0.0005831976
192.6903,-2.68268,-1.063994,0.128792,0.0003776891
111.8228,2.017706,0.1220607,0.05683615,0.0002368173
160.5562,-0.1387716,0.6012205,0.09571446,0.0003695539
142.7122,0.1551621,-0.1510088,0.07301117,0.0003544231
89.19849,-2.416348,-0.8222588,0.05525789,0.0002893083
160.4387,0.3759786,-0.8452741,0.06668258,0.0002861914
165.8754,-1.449717,1.910539,0.1056407,0.0004078792
90.19238,-3.489541,2.80835,0.03848364,0.0002237421
114.1384,0.7637056,0.5364176,0.07235935,0.0003768716
117.2606,-3.021631,4.897187,0.113932,0.0005374152
136.6862,2.159257,0.4987203,0.05041584,0.0002355881
86.7644,-2.139084,1.074457,0.04659193,0.0002693175
90.17627,1.582346,-0.7401056,0.0561097,0.000313462
135.2754,1.402358,0.3194279,0.05415256,0.0002385575
