mat_00,mat_10,mat_20,mat_30,mat_01,mat_11,mat_21,mat_31,mat_02,mat_12,mat_22,mat_32,mat_03,mat_13,mat_23,mat_33,ctw_00,ctw_10,ctw_20,ctw_30,ctw_01,ctw_11,ctw_21,ctw_31,ctw_02,ctw_12,ctw_22,ctw_32,ctw_03,ctw_13,ctw_23,ctw_33,opennessl,opennessr,eye_x,eye_y,eye_z,time,frame,ray_x,ray_y,ray_z,base_x,base_y,base_z
-0.01446354,-0.1058009,-0.9942822,0,0.03396403,0.9937603,-0.1062395,0,-0.9993184,0.03530643,0.01077998,0,10.77603,-5.030495,-28.49147,1,-0.01446365,0.03396402,-0.9993184,0,-0.1058009,0.9937603,0.03530643,0,-0.994282,-0.1062395,0.01077987,0,-28.70493,1.606189,11.25343,1,1.0,1.0,0.0005936436,0.0003277588,-0.02108207,4.04,11,-0.04931619066533887,-0.21164791250122267,0.976100955061583,-0.03191534616446248,-0.1549635958962154,0.9874045243091186
-0.01462877,-0.1045166,-0.9944156,0,0.03357836,0.9939097,-0.1049574,0,-0.999329,0.03492624,0.0110302,0,10.77195,-4.989382,-28.49995,1,-0.01462879,0.03357835,-0.9993291,0,-0.1045166,0.9939097,0.03492624,0,-0.9944156,-0.1049574,0.01103018,0,-28.70469,1.60601,11.25335,1,1.0,1.0,0.0005914159,0.0003265229,-0.02106876,4.06,12,-0.04960783428762976,-0.2120628645130414,0.9759961087380493,-0.03220881172575122,-0.15538360302603396,0.9873289868923443
-0.01454258,-0.1035941,-0.9945133,0,0.03250574,0.9940438,-0.1040206,0,-0.9993657,0.03384012,0.01108861,0,10.77659,-4.950733,-28.5048,1,-0.01454263,0.03250574,-0.9993657,0,-0.1035941,0.9940437,0.03384012,0,-0.9945133,-0.1040206,0.01108856,0,-28.70455,1.60586,11.25337,1,1.0,1.0,0.0005905386,0.0003270569,-0.0210457,4.08,13,-0.05016510142359602,-0.2124772964794127,0.9758774826175465,-0.0327681041684219,-0.15580361255920416,0.9872443900386108
-0.01467884,-0.1023772,-0.9946373,0,0.03199254,0.9941871,-0.102803,0,-0.9993803,0.03332999,0.01131809,0,10.77368,-4.910264,-28.51279,1,-0.01467872,0.03199255,-0.9993804,0,-0.1023772,0.9941872,0.03333001,0,-0.9946374,-0.102803,0.0113182,0,-28.70444,1.605844,11.25337,1,1.0,1.0,0.0005934983,0.0003278733,-0.02103597,4.1,14,-0.050283010698335545,-0.212281988682508,0.9759139183945018,-0.03288534547854487,-0.15560640776895546,0.9872715937947361
-0.01469886,-0.1018241,-0.9946938,0,0.03185292,0.9942487,-0.1022492,0,-0.9993845,0.03318685,0.0113709,0,10.77334,-4.892871,-28.51579,1,-0.01469883,0.03185292,-0.9993845,0,-0.1018241,0.9942487,0.03318685,0,-0.9946939,-0.1022492,0.01137093,0,-28.70433,1.605852,11.25334,1,1.0,1.0,0.0005972749,0.0003296891,-0.02102358,4.12,15,-0.050753952965353,-0.21203554597308993,0.9759431148905575,-0.033355692726171796,-0.15535820780577597,0.98729490276722
-0.01509237,-0.1009531,-0.9947767,0,0.03201583,0.9943311,-0.1013936,0,-0.9993734,0.03337889,0.01177478,0,10.76157,-4.870085,-28.52398,1,-0.01509244,0.03201584,-0.9993735,0,-0.1009531,0.9943311,0.03337888,0,-0.9947768,-0.1013936,0.01177472,0,-28.70422,1.605787,11.25324,1,1.0,1.0,0.0005980674,0.0003338852,-0.02099877,4.14,16,-0.05143337998394367,-0.2130822760399835,0.9756795329723009,-0.034039708604617816,-0.1564176956948936,0.9871042511870832
-0.01570165,-0.09898913,-0.9949647,0,0.03203073,0.9945268,-0.09945105,0,-0.9993636,0.03343098,0.01244497,0,10.74383,-4.814428,-28.5399,1,-0.0157016,0.03203072,-0.9993635,0,-0.09898912,0.9945267,0.03343098,0,-0.9949646,-0.09945104,0.01244502,0,-28.70407,1.605622,11.25312,1,1.0,1.0,0.0004742127,0.000328888,-0.02126646,4.16,17,-0.03876879127960822,-0.21866465051730521,0.9750296156716795,-0.02138871143080359,-0.16204126773098482,0.9865521529931731
-0.01660192,-0.09590068,-0.9952524,0,0.03241897,0.9948146,-0.09639928,0,-0.9993364,0.03386547,0.01340687,0,10.717,-4.730832,-28.5639,1,-0.01660196,0.03241897,-0.9993365,0,-0.09590068,0.9948146,0.03386547,0,-0.9952524,-0.09639928,0.01340683,0,-28.70406,1.605327,11.25305,1,1.0,1.0,-2.142414e-05,1.757813e-05,-0.0211171,4.18,18,0.025748044893886657,-0.27324739980900675,0.9615991351294774,0.04287856552448953,-0.21737386993444505,0.9751461579108461
-0.0176146,-0.0928013,-0.9955289,0,0.0325017,0.995104,-0.09333678,0,-0.9993166,0.03400047,0.01451218,0,10.6876,-4.643658,-28.58917,1,-0.01761462,0.0325017,-0.9993163,0,-0.09280129,0.995104,0.03400047,0,-0.9955287,-0.09333675,0.01451216,0,-28.70402,1.605137,11.25307,1,1.0,1.0,-0.0002405774,-0.0002720947,-0.02121101,4.2,19,0.0535025305482288,-0.33253645257187214,0.9415715516814698,0.07027177575944596,-0.27774755182845584,0.9580804637319944
-0.01823962,-0.09143997,-0.9956436,0,0.03222072,0.9952382,-0.091993,0,-0.9993144,0.03375826,0.01520658,0,10.67006,-4.601965,-28.60228,1,-0.01823969,0.0322207,-0.9993143,0,-0.09143995,0.9952381,0.03375827,0,-0.9956434,-0.091993,0.0152065,0,-28.70386,1.605046,11.25304,1,1.0,1.0,-0.0002358397,-0.000314827,-0.02121904,4.22,20,0.05414229590220375,-0.3360901043348819,0.9402723294676955,0.07088828886886447,-0.28137085935475603,0.9569771627406846
