time,alpha,beta,value,repro
188.4659,0.8470382,-0.7605779,0.09775621,0.0002801037
195.6252,-0.7131786,1.146501,0.08904506,0.0002494259
126.4594,-0.9717346,1.333027,0.07938734,0.0003101068
183.1813,3.598481,3.164832,0.2075002,0.0005828658
214.6055,-1.836704,-3.434473,0.1355288,0.0003974453
117.5057,2.016323,0.1226869,0.05689173,0.0002370489
145.8413,-2.24251,0.9460154,0.09613562,0.00037118
143.9861,0.4096153,0.2318591,0.07321513,0.0003554132
82.7467,-3.329749,1.659226,0.05520066,0.0002890087
155.8763,0.3746172,-0.8453525,0.06662305,0.0002859358
176.1545,-1.449747,1.910555,0.1056046,0.0004077398
92.44568,-3.537305,2.823176,0.03847833,0.0002237112
109.6338,0.7661373,0.5358201,0.07252207,0.0003777191
111.3929,-0.7274941,4.965271,0.1144547,0.0005398807
130.8367,1.217891,0.3920016,0.05038077,0.0002354242
93.41479,-2.169152,1.106248,0.04665692,0.0002696932
97.58057,1.568292,-0.7566512,0.05611534,0.0003134935
142.3245,2.196805,-0.03187671,0.05423828,0.0002389352
