time,alpha,beta,value,repro
76.32456,-2.044568,2.760551,0.00975654,4.455041E-05
90.93907,-0.8846488,4.804451,0.01127909,4.641601E-05
60.1837,-2.370379,4.289852,0.006466945,4.282745E-05
108.9593,1.520283,4.143377,0.01280887,4.199629E-05
67.83545,-1.452216,4.331203,0.008684532,4.59499E-05
48.0051,0.4040207,1.240362,0.006269233,4.044667E-05
69.61426,-1.730336,4.920384,0.008295404,4.740231E-05
42.67523,-3.459442,3.337939,0.005096038,4.550034E-05
30.10638,-1.358717,4.567251,0.004124247,4.482878E-05
66.11353,-1.585454,4.624578,0.006814645,4.340538E-05
91.08246,-2.642785,3.706161,0.00809916,4.425771E-05
47.08649,-0.4835679,4.775658,0.004960735,4.276496E-05
31.14594,-1.715729,4.907685,0.003234741,4.827972E-05
43.38348,0.8342735,3.453413,0.005512061,4.671238E-05
67.15173,-1.854248,4.647068,0.008216459,4.370457E-05
56.52954,0.7903186,3.877723,0.004395596,4.352075E-05
46.23273,0.3646207,2.512886,0.005111502,4.483774E-05
66.77588,-1.568177,4.710138,0.007260433,4.125246E-05
