time,alpha,beta,value,repro
78.29822,2.424684,-2.392336,0.0535289,0.0002787963
201.4819,-1.28071,0.7831956,0.08643111,0.0002155389
184.1825,-1.052167,4.631137,0.1074562,0.0002653239
165.2285,4.110528,-1.15286,0.1214628,0.0003355326
157.2022,-2.434928,-0.8019227,0.1406604,0.000368221
150.3018,4.931954,-1.049917,0.07243092,0.0002235522
90.479,0.4434173,4.845375,0.09006514,0.0004248356
117.3365,-0.006207131,-4.992745,0.06390438,0.0002375628
114.2782,-2.514216,1.277951,0.06285698,0.0002261042
108.0637,-2.990827,0.8531435,0.06155492,0.0002564788
95.21802,-3.110669,1.170337,0.1023153,0.0004410144
89.41064,-3.606766,4.951139,0.05598681,0.0002691674
87.82739,0.4773525,-0.1285933,0.06413393,0.0003113298
91.31824,-1.906443,3.667818,0.1185087,0.0004876901
82.17053,0.357789,1.671538,0.09293658,0.0004094122
116.3054,-1.496831,-0.2943299,0.05847318,0.0002231801
52.64111,-1.625325,-0.2113617,0.03096739,0.0002150513
154.512,-3.232087,2.114305,0.06418835,0.0001987256
